Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Test
15,28,24,2,0,62.5,6,bowled,2,v Pakistan,Karachi,11/15/89,Test # 1127
DNB,-,-,-,-,-,-,-,4,v Pakistan,Karachi,11/15/89,Test # 1127
59,254,172,4,0,34.3,6,lbw,1,v Pakistan,Faisalabad,11/23/89,Test # 1128
8,24,16,1,0,50,6,run out,3,v Pakistan,Faisalabad,11/23/89,Test # 1128
41,124,90,5,0,45.55,7,bowled,1,v Pakistan,Lahore,12/01/89,Test # 1130
35,74,51,5,0,68.62,6,lbw,1,v Pakistan,Sialkot,12/09/89,Test # 1132
57,193,134,6,0,42.53,6,caught,3,v Pakistan,Sialkot,12/09/89,Test # 1132
0,1,1,0,0,0,6,caught,2,v New Zealand,Christchurch,02/02/90,Test # 1136
24,50,44,3,0,54.54,6,caught,3,v New Zealand,Christchurch,02/02/90,Test # 1136
88,324,266,5,0,33.08,6,caught,1,v New Zealand,Napier,02/09/90,Test # 1138
5,15,13,1,0,38.46,6,caught,2,v New Zealand,Auckland,02/22/90,Test # 1139
DNB,-,-,-,-,-,-,-,4,v New Zealand,Auckland,02/22/90,Test # 1139
10,30,19,1,0,52.63,6,bowled,2,v England,Lord's,07/26/90,Test # 1148
27,93,65,4,0,41.53,6,caught,4,v England,Lord's,07/26/90,Test # 1148
68,216,136,8,0,50,6,caught,2,v England,Manchester,08/09/90,Test # 1149
119*,225,189,17,0,62.96,6,not out,4,v England,Manchester,08/09/90,Test # 1149
21,39,30,3,0,70,7,caught,1,v England,The Oval,08/23/90,Test # 1150
11,92,-,-,0,-,6,lbw,1,v Sri Lanka,Chandigarh,11/23/90,Test # 1156
16,47,42,3,0,38.09,6,bowled,1,v Australia,Brisbane,11/29/91,Test # 1177
7,36,25,1,0,28,6,caught,3,v Australia,Brisbane,11/29/91,Test # 1177
15,33,23,0,0,65.21,7,caught,1,v Australia,Melbourne,12/26/91,Test # 1180
40,122,107,5,0,37.38,7,caught,3,v Australia,Melbourne,12/26/91,Test # 1180
148*,298,213,14,0,69.48,6,not out,2,v Australia,Sydney,01/02/92,Test # 1181
6,20,8,1,0,75,6,lbw,2,v Australia,Adelaide,01/25/92,Test # 1184
17,36,29,2,0,58.62,4,lbw,4,v Australia,Adelaide,01/25/92,Test # 1184
114,228,161,16,0,70.8,4,caught,2,v Australia,Perth,02/01/92,Test # 1186
5,12,9,1,0,55.55,4,caught,4,v Australia,Perth,02/01/92,Test # 1186
