Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Test
105,272,173,19,0,60.69,6,bowled,1,v South Africa,Bloemfontein,11/03/01,Test # 1564
31,49,36,6,0,86.11,6,bowled,3,v South Africa,Bloemfontein,11/03/01,Test # 1564
13,42,29,3,0,44.82,7,caught,2,v South Africa,Port Elizabeth,11/16/01,Test # 1569
DNB,-,-,-,-,-,-,-,4,v South Africa,Port Elizabeth,11/16/01,Test # 1569
20,44,34,2,1,58.82,7,lbw,2,v England,Ahmedabad,12/11/01,Test # 1575
DNB,-,-,-,-,-,-,-,4,v England,Ahmedabad,12/11/01,Test # 1575
66,123,88,13,0,75,7,caught,2,v England,Bangalore,12/19/01,Test # 1578
74,145,118,16,0,62.71,6,lbw,2,v Zimbabwe,Delhi,02/28/02,Test # 1591
DNB,-,-,-,-,-,-,-,4,v Zimbabwe,Delhi,02/28/02,Test # 1591
84,149,96,10,1,87.5,2,bowled,2,v England,Lord's,07/25/02,Test # 1610
27,59,42,5,0,64.28,2,bowled,4,v England,Lord's,07/25/02,Test # 1610
106,257,183,18,0,57.92,2,bowled,1,v England,Nottingham,08/08/02,Test # 1612
0,1,2,0,0,0,1,lbw,3,v England,Nottingham,08/08/02,Test # 1612
8,30,23,1,0,34.78,2,caught,1,v England,Leeds,08/22/02,Test # 1613
12,17,10,2,0,120,2,caught,2,v England,The Oval,09/05/02,Test # 1614
147,301,206,24,3,71.35,2,caught,1,v West Indies,Mumbai,10/09/02,Test # 1616
61,120,65,8,3,93.84,2,bowled,2,v West Indies,Chennai,10/17/02,Test # 1618
33,54,30,3,2,110,2,stumped,4,v West Indies,Chennai,10/17/02,Test # 1618
35,49,35,6,0,100,2,lbw,1,v West Indies,Kolkata,10/30/02,Test # 1622
10,18,7,2,0,142.85,2,caught,3,v West Indies,Kolkata,10/30/02,Test # 1622
2,9,6,0,0,33.33,2,bowled,1,v New Zealand,Wellington,12/12/02,Test # 1631
12,31,15,2,0,80,2,lbw,3,v New Zealand,Wellington,12/12/02,Test # 1631
1,31,21,0,0,4.76,2,caught,1,v New Zealand,Hamilton,12/19/02,Test # 1633
25,17,18,4,0,138.88,7,caught,3,v New Zealand,Hamilton,12/19/02,Test # 1633
29,47,32,3,1,90.62,2,lbw,1,v New Zealand,Ahmedabad,10/08/03,Test # 1660
17,36,29,1,0,58.62,2,caught,3,v New Zealand,Ahmedabad,10/08/03,Test # 1660
130,316,225,16,2,57.77,2,bowled,2,v New Zealand,Mohali,10/16/03,Test # 1662
1,13,7,0,0,14.28,2,caught,3,v New Zealand,Mohali,10/16/03,Test # 1662
45,81,51,5,0,88.23,2,caught,2,v Australia,Brisbane,12/04/03,Test # 1671
0,5,1,0,0,0,2,caught,4,v Australia,Brisbane,12/04/03,Test # 1671
